,Order ID,Order Qty,Total weight as per X (KG),AWB Code,Charged Weight,Warehouse Pincode_x,Customer Pincode,Zone_x,Type of Shipment,Billing Amount (Rs.),Weight slab as per X (KG),Weight slab charged by Courier Company (KG),Warehouse Pincode_y,Zone_y
20,2001811306,4.0,0.945,1091117958163,1.1,121003,302017,d,Forward charges,135.0,1.0,1.0,121003,b
21,2001811306,4.0,0.945,1091117958163,1.1,121003,302017,d,Forward charges,135.0,1.0,1.0,121003,b
22,2001815688,2.0,0.22,1091119169701,0.2,121003,302017,d,Forward charges,45.4,0.5,0.5,121003,b
23,2001815688,2.0,0.22,1091119169701,0.2,121003,302017,d,Forward charges,45.4,0.5,0.5,121003,b
24,2001815688,2.0,0.22,1091119169701,0.2,121003,302017,d,Forward charges,45.4,0.5,0.5,121003,b
25,2001815688,2.0,0.22,1091119169701,0.2,121003,302017,d,Forward charges,45.4,0.5,0.5,121003,b
26,2001815688,2.0,0.22,1091119169701,0.2,121003,302017,d,Forward charges,45.4,0.5,0.5,121003,b
27,2001816131,3.0,0.452,1091119367193,0.7,121003,302017,d,Forward charges,90.2,0.5,0.5,121003,b
28,2001816131,3.0,0.452,1091119367193,0.7,121003,302017,d,Forward charges,90.2,0.5,0.5,121003,b
29,2001816131,3.0,0.452,1091119367193,0.7,121003,302017,d,Forward charges,90.2,0.5,0.5,121003,b
30,2001816131,3.0,0.452,1091119367193,0.7,121003,302017,d,Forward charges,90.2,0.5,0.5,121003,b
31,2001816131,3.0,0.452,1091119367193,0.7,121003,302017,d,Forward charges,90.2,0.5,0.5,121003,b
32,2001806338,3.0,0.5,1091117222570,0.7,121003,392150,d,Forward charges,90.2,0.5,0.5,121003,d
33,2001806408,12.0,0.929,1091117222931,2.5,121003,532484,d,Forward charges,224.6,1.0,1.0,121003,d
34,2001806446,3.0,0.5,1091117223211,0.69,121003,382830,d,Forward charges,90.2,0.5,0.5,121003,d
35,2001806458,2.0,0.7,1091117223244,1.0,121003,143001,b,Forward charges,61.3,1.0,1.0,121003,b
36,2001806471,10.0,1.121,1091117223351,1.7,121003,313027,d,Forward charges,179.8,1.5,1.5,121003,b
37,2001806533,3.0,0.5,1091117224353,0.68,121003,711303,d,Forward charges,90.2,0.5,0.5,121003,d
38,2001806547,1.0,0.127,1091117224611,1.0,121003,283102,b,Forward charges,61.3,0.5,0.5,121003,b
39,2001806567,6.0,0.952,1091117224902,1.16,121003,370201,d,Forward charges,135.0,1.0,1.0,121003,d
40,2001806575,3.0,0.5,1091117225016,0.68,121003,248001,b,Forward charges,61.3,0.5,0.5,121003,b
41,2001806575,3.0,0.5,1091117225016,0.68,121003,248001,b,Forward charges,61.3,0.5,0.5,121003,b
42,2001806801,2.0,0.361,1091117227816,1.35,121003,248001,b,Forward charges,89.6,0.5,0.5,121003,b
43,2001806801,2.0,0.361,1091117227816,1.35,121003,248001,b,Forward charges,89.6,0.5,0.5,121003,b
44,2001806616,6.0,0.963,1091117225484,1.08,121003,144001,b,Forward charges,89.6,1.0,1.0,121003,b
45,2001806652,3.0,0.5,1091117226221,0.69,121003,403401,d,Forward charges,90.2,0.5,0.5,121003,d
46,2001806686,1.0,0.24,1091117229555,0.15,121003,326502,d,Forward charges,45.4,0.5,0.5,121003,d
47,2001806726,3.0,0.5,1091117226910,0.68,121003,831002,d,Forward charges,90.2,0.5,0.5,121003,d
48,2001806733,5.0,0.967,1091117226674,1.13,121003,452001,d,Forward charges,135.0,1.0,1.0,121003,d
49,2001806735,3.0,0.5,1091117226711,0.69,121003,721636,d,Forward charges,90.2,0.5,0.5,121003,d
50,2001806768,4.0,0.21,1091117227116,1.02,121003,322201,d,Forward charges,135.0,0.5,0.5,121003,b
51,2001806776,4.0,0.474,1091117227573,2.86,121003,226004,b,Forward charges,174.5,0.5,0.5,121003,b
52,2001806823,1.0,0.127,1091117228133,0.59,121003,314001,d,Forward charges,90.2,0.5,0.5,121003,b
53,2001806828,3.0,0.5,1091117228192,0.69,121003,331022,d,Forward charges,90.2,0.5,0.5,121003,b
54,2001806885,4.0,0.42,1091117229776,1.0,121003,208019,b,Forward charges,61.3,0.5,0.5,121003,b
55,2001806968,3.0,0.5,1091117229183,0.68,121003,305801,d,Forward charges,90.2,0.5,0.5,121003,b
56,2001807004,3.0,0.5,1091117229290,0.68,121003,410206,d,Forward charges,90.2,0.5,0.5,121003,d
57,2001807012,1.0,0.24,1091117229345,0.15,121003,515591,d,Forward charges,45.4,0.5,0.5,121003,d
58,2001807036,13.0,0.451,1091117323005,1.64,121003,516503,d,Forward charges,179.8,0.5,0.5,121003,d
59,2001807058,6.0,1.168,1091117323112,1.15,121003,140301,b,Forward charges,89.6,1.5,1.5,121003,b
60,2001807058,6.0,1.168,1091117323112,1.15,121003,140301,b,Forward charges,89.6,1.5,1.5,121003,b
61,2001808118,3.0,0.343,1091117435134,0.5,121003,140301,b,Forward charges,33.0,0.5,0.5,121003,b
62,2001808118,3.0,0.343,1091117435134,0.5,121003,140301,b,Forward charges,33.0,0.5,0.5,121003,b
63,2001807084,3.0,0.5,1091117323215,0.67,121003,742103,d,Forward charges,90.2,0.5,0.5,121003,d
64,2001807186,3.0,0.5,1091117323812,0.5,121003,396001,d,Forward charges,45.4,0.5,0.5,121003,d
65,2001807241,3.0,0.607,1091117324011,0.79,121003,341001,d,Forward charges,90.2,1.0,1.0,121003,b
66,2001807290,3.0,0.5,1091117324206,0.5,121003,711106,d,Forward charges,45.4,0.5,0.5,121003,d
67,2001807328,1.0,0.49,1091117324346,2.28,121003,335502,d,Forward charges,224.6,0.5,0.5,121003,b
68,2001807329,3.0,0.5,1091117333100,0.73,121003,302039,d,Forward charges,90.2,0.5,0.5,121003,b
69,2001807362,18.0,0.56,1091117324394,2.0,121003,452018,d,Forward charges,179.8,1.0,1.0,121003,d
70,2001807415,7.0,0.472,1091117325094,1.0,121003,208001,b,Forward charges,61.3,0.5,0.5,121003,b
71,2001807613,3.0,0.83,1091117333251,1.04,121003,335803,d,Forward charges,135.0,1.0,1.0,121003,b
72,2001807785,3.0,0.5,1091117326424,0.68,121003,306116,d,Forward charges,90.2,0.5,0.5,121003,b
73,2001807814,3.0,0.607,1091117326612,0.79,121003,284001,b,Forward charges,61.3,1.0,1.0,121003,b
74,2001807852,3.0,0.5,1091117326925,0.74,121003,311001,d,Forward charges,90.2,0.5,0.5,121003,b
75,2001807930,1.0,0.24,1091117327695,0.15,121003,845438,d,Forward charges,45.4,0.5,0.5,121003,d
76,2001807931,3.0,0.607,1091117327172,0.72,121003,441601,d,Forward charges,90.2,1.0,1.0,121003,d
77,2001807956,5.0,0.79,1091117327275,1.08,121003,248006,b,Forward charges,89.6,1.0,1.0,121003,b
78,2001807960,4.0,0.93,1091117327312,1.0,121003,485001,d,Forward charges,90.2,1.0,1.0,121003,d
79,2001807970,2.0,0.765,1091117327474,4.13,121003,302019,d,Forward charges,403.8,1.0,1.0,121003,b
80,2001807976,4.0,0.721,1091117327496,0.7,121003,400705,d,Forward and RTO charges,172.8,1.0,1.0,121003,d
81,2001807981,3.0,0.5,1091117327570,0.5,121003,332715,d,Forward charges,45.4,0.5,0.5,121003,b
82,2001808102,9.0,0.821,1091117435005,1.28,121003,463106,d,Forward charges,135.0,1.0,1.0,121003,d
83,2001808207,3.0,0.607,1091117435370,0.79,121003,495671,d,Forward charges,90.2,1.0,1.0,121003,d
84,2001808286,3.0,0.601,1091117435602,0.77,121003,302031,d,Forward charges,90.2,1.0,1.0,121003,b
85,2001808286,3.0,0.601,1091117435602,0.77,121003,302031,d,Forward charges,90.2,1.0,1.0,121003,b
86,2001808837,3.0,0.5,1091117437890,0.67,121003,302031,d,Forward charges,90.2,0.5,0.5,121003,b
87,2001808837,3.0,0.5,1091117437890,0.67,121003,302031,d,Forward charges,90.2,0.5,0.5,121003,b
88,2001808295,2.0,0.245,1091117435661,0.2,121003,673002,e,Forward and RTO charges,107.3,0.5,0.5,121003,e
89,2001808475,3.0,0.5,1091117436346,0.7,121003,335001,d,Forward charges,90.2,0.5,0.5,121003,b
90,2001808475,3.0,0.5,1091117436346,0.7,121003,335001,d,Forward charges,90.2,0.5,0.5,121003,b
91,2001808801,6.0,0.553,1091117437680,0.8,121003,335001,d,Forward charges,90.2,1.0,1.0,121003,b
92,2001808801,6.0,0.553,1091117437680,0.8,121003,335001,d,Forward charges,90.2,1.0,1.0,121003,b
93,2001808507,3.0,0.607,1091117436383,0.79,121003,208002,b,Forward charges,61.3,1.0,1.0,121003,b
94,2001808542,4.0,0.367,1091117436464,0.86,121003,416010,d,Forward charges,90.2,0.5,0.5,121003,d
95,2001808585,3.0,0.5,1091117436652,0.72,121003,175101,b,Forward charges,61.3,0.5,0.5,121003,e
96,2001808675,6.0,1.183,1091117437050,1.2,121003,226010,b,Forward charges,89.6,1.5,1.5,121003,b
97,2001808679,3.0,0.5,1091117437035,0.72,121003,303903,d,Forward charges,90.2,0.5,0.5,121003,b
98,2001808739,2.0,0.22,1091117437293,1.63,121003,342012,d,Forward charges,179.8,0.5,0.5,121003,b
99,2001808832,1.0,0.6,1091117437864,2.47,121003,334001,d,Forward charges,224.6,1.0,1.0,121003,b
100,2001808883,3.0,0.5,1091117438074,0.72,121003,302012,d,Forward charges,90.2,0.5,0.5,121003,b
101,2001808883,3.0,0.5,1091117438074,0.72,121003,302012,d,Forward charges,90.2,0.5,0.5,121003,b
102,2001812195,3.0,0.5,1091118442390,0.67,121003,302012,d,Forward charges,90.2,0.5,0.5,121003,b
103,2001812195,3.0,0.5,1091118442390,0.67,121003,302012,d,Forward charges,90.2,0.5,0.5,121003,b
104,2001808992,3.0,0.5,1091117611501,0.72,121003,342014,d,Forward charges,90.2,0.5,0.5,121003,b
105,2001809270,3.0,0.5,1091117613962,0.68,121003,324005,d,Forward charges,90.2,0.5,0.5,121003,b
106,2001809383,3.0,0.607,1091117614452,0.5,121003,303702,d,Forward and RTO charges,86.7,1.0,1.0,121003,b
107,2001809592,12.0,0.6,1091117616121,1.5,121003,244713,b,Forward charges,89.6,1.0,1.0,121003,b
108,2001809794,7.0,1.517,1091117795531,1.5,121003,580007,d,Forward charges,135.0,2.0,2.0,121003,d
109,2001809820,16.0,2.856,1091117795623,3.0,121003,360005,d,Forward charges,269.4,3.0,3.0,121003,d
110,2001809917,3.0,0.63,1091121482593,0.6,121003,831006,d,Forward and RTO charges,172.8,1.0,1.0,121003,d
111,2001809934,2.0,0.361,1091117803511,0.82,121003,302001,d,Forward charges,90.2,0.5,0.5,121003,b
112,2001810104,3.0,0.601,1091117804200,0.76,121003,334004,d,Forward charges,90.2,1.0,1.0,121003,b
113,2001810125,3.0,0.5,1091117804314,0.66,121003,302004,d,Forward charges,90.2,0.5,0.5,121003,b
114,2001810281,3.0,0.5,1091117805390,0.68,121003,302018,d,Forward charges,90.2,0.5,0.5,121003,b
115,2001810281,3.0,0.5,1091117805390,0.68,121003,302018,d,Forward charges,90.2,0.5,0.5,121003,b
116,2001811058,3.0,0.5,1091117905022,0.72,121003,302018,d,Forward charges,90.2,0.5,0.5,121003,b
117,2001811058,3.0,0.5,1091117905022,0.72,121003,302018,d,Forward charges,90.2,0.5,0.5,121003,b
118,2001810697,3.0,0.607,1091117807140,2.27,121003,324008,d,Forward charges,224.6,1.0,1.0,121003,b
119,2001811039,3.0,0.488,1091117904860,0.68,121003,302020,d,Forward charges,90.2,0.5,0.5,121003,b
120,2001811039,3.0,0.488,1091117904860,0.68,121003,302020,d,Forward charges,90.2,0.5,0.5,121003,b
121,2001811305,4.0,0.75,1091121846136,0.5,121003,302020,d,Forward charges,45.4,1.0,1.0,121003,b
122,2001811305,4.0,0.75,1091121846136,0.5,121003,302020,d,Forward charges,45.4,1.0,1.0,121003,b
123,2001811153,3.0,0.607,1091117957533,0.76,121003,321001,d,Forward charges,90.2,1.0,1.0,121003,b
124,2001811192,9.0,0.696,1091117957780,1.13,121003,562110,d,Forward and RTO charges,258.9,1.0,1.0,121003,d
125,2001811229,3.0,0.505,1091117957942,0.6,121003,324001,d,Forward charges,90.2,1.0,1.0,121003,b
126,2001811363,4.0,0.508,1091117958395,0.59,121003,321608,d,Forward charges,90.2,1.0,1.0,121003,b
127,2001811466,3.0,0.607,1091118001865,0.8,121003,302002,d,Forward charges,90.2,1.0,1.0,121003,b
128,2001811466,3.0,0.607,1091118001865,0.8,121003,302002,d,Forward charges,90.2,1.0,1.0,121003,b
129,2001812650,5.0,0.227,1091118591534,0.61,121003,302002,d,Forward charges,90.2,0.5,0.5,121003,b
130,2001812650,5.0,0.227,1091118591534,0.61,121003,302002,d,Forward charges,90.2,0.5,0.5,121003,b
131,2001811475,4.0,0.689,1091121844806,0.5,121003,173212,b,Forward charges,33.0,1.0,1.0,121003,e
132,2001811475,4.0,0.689,1091121844806,0.5,121003,173212,b,Forward charges,33.0,1.0,1.0,121003,e
133,2001811604,4.0,0.481,1091118004245,0.8,121003,173212,b,Forward charges,61.3,0.5,0.5,121003,e
134,2001811604,4.0,0.481,1091118004245,0.8,121003,173212,b,Forward charges,61.3,0.5,0.5,121003,e
135,2001811809,3.0,0.5,1091118009786,0.5,121003,311011,d,Forward and RTO charges,86.7,0.5,0.5,121003,b
136,2001812838,5.0,0.222,1091118547832,0.6,121003,262405,b,Forward and RTO charges,102.3,0.5,0.5,121003,b
137,2001812854,11.0,2.236,1091118548333,2.94,121003,306302,d,Forward charges,269.4,2.5,2.5,121003,b
138,2001812941,3.0,0.5,1091118551656,0.73,121003,325207,d,Forward charges,90.2,0.5,0.5,121003,b
139,2001813009,5.0,0.72,1091118553701,1.0,121003,313001,d,Forward charges,90.2,1.0,1.0,121003,b
140,2001813009,5.0,0.72,1091118553701,1.0,121003,313001,d,Forward charges,90.2,1.0,1.0,121003,b
141,2001813009,5.0,0.72,1091118553701,1.0,121003,313001,d,Forward charges,90.2,1.0,1.0,121003,b
142,2001813009,5.0,0.72,1091118553701,1.0,121003,313001,d,Forward charges,90.2,1.0,1.0,121003,b
143,2001821185,10.0,1.844,1091120959225,2.1,121003,313001,d,Forward charges,224.6,2.0,2.0,121003,b
144,2001821185,10.0,1.844,1091120959225,2.1,121003,313001,d,Forward charges,224.6,2.0,2.0,121003,b
145,2001821185,10.0,1.844,1091120959225,2.1,121003,313001,d,Forward charges,224.6,2.0,2.0,121003,b
146,2001821185,10.0,1.844,1091120959225,2.1,121003,313001,d,Forward charges,224.6,2.0,2.0,121003,b
147,2001821284,2.0,0.177,1091120962515,0.2,121003,313001,d,Forward charges,45.4,0.5,0.5,121003,b
148,2001821284,2.0,0.177,1091120962515,0.2,121003,313001,d,Forward charges,45.4,0.5,0.5,121003,b
149,2001821284,2.0,0.177,1091120962515,0.2,121003,313001,d,Forward charges,45.4,0.5,0.5,121003,b
150,2001821284,2.0,0.177,1091120962515,0.2,121003,313001,d,Forward charges,45.4,0.5,0.5,121003,b
151,2001821766,2.0,0.12,1091121034641,0.2,121003,313001,d,Forward charges,45.4,0.5,0.5,121003,b
152,2001821766,2.0,0.12,1091121034641,0.2,121003,313001,d,Forward charges,45.4,0.5,0.5,121003,b
153,2001821766,2.0,0.12,1091121034641,0.2,121003,313001,d,Forward charges,45.4,0.5,0.5,121003,b
154,2001821766,2.0,0.12,1091121034641,0.2,121003,313001,d,Forward charges,45.4,0.5,0.5,121003,b
155,2001814580,1.0,0.127,1091118925110,0.15,121003,322255,d,Forward and RTO charges,86.7,0.5,0.5,121003,b
156,2001816684,8.0,0.34,1091119398844,0.99,121003,394210,d,Forward and RTO charges,172.8,0.5,0.5,121003,d
157,2001816996,3.0,0.5,1091119429202,0.5,121003,335512,d,Forward charges,45.4,0.5,0.5,121003,b
158,2001817093,11.0,1.021,1091121485824,1.3,121003,244001,b,Forward and RTO charges,151.1,1.5,1.5,121003,b
159,2001817160,2.0,0.7,1091119630264,0.7,121003,411014,d,Forward and RTO charges,172.8,1.0,1.0,121003,d
160,2001818390,6.0,0.481,1091120014461,0.8,121003,783301,e,Forward and RTO charges,213.5,0.5,0.5,121003,e
161,2001819252,3.0,0.27,1091120352712,0.3,121003,174101,b,Forward charges,33.0,0.5,0.5,121003,e
162,2001820690,1.0,0.065,1091121306101,0.15,121003,313003,d,Forward charges,45.4,0.5,0.5,121003,b
163,2001820978,2.0,0.515,1091120922803,0.5,121003,313301,d,Forward charges,45.4,1.0,1.0,121003,b
164,2001821190,2.0,1.2,1091120959015,1.2,121003,486661,d,Forward and RTO charges,258.9,1.5,1.5,121003,d
165,2001821502,5.0,0.334,1091121185863,0.6,121003,314401,d,Forward charges,90.2,0.5,0.5,121003,b
166,2001821679,1.0,0.165,1091121031745,0.2,121003,307026,d,Forward charges,45.4,0.5,0.5,121003,b
167,2001821742,1.0,0.24,1091121034114,0.15,121003,327025,d,Forward charges,45.4,0.5,0.5,121003,b
168,2001821750,3.0,0.755,1091121034350,0.8,121003,313333,d,Forward charges,90.2,1.0,1.0,121003,b
169,2001821995,2.0,0.477,1091121183730,0.5,121003,342008,d,Forward charges,45.4,0.5,0.5,121003,b
170,2001822466,10.0,0.352,1091121305541,1.1,121003,342301,d,Forward charges,135.0,0.5,0.5,121003,b
171,2001823564,6.0,0.336,1091121666133,0.7,121003,492001,d,Forward and RTO charges,172.8,0.5,0.5,121003,d
172,2001825261,13.0,0.611,1091121981575,1.6,121003,517128,d,Forward and RTO charges,345.0,1.0,1.0,121003,d
173,2001827036,10.0,2.039,1091122418320,1.6,121003,173213,b,Forward charges,117.9,2.5,2.5,121003,e
